CASEID,weight,wdtotal,wdprmor,fmsz27,nbear27,dvfcrn, atinc27 ,wdstcred,wdsloan,wnetwpg,dvphlv2g,hcsex_r,wdstomor,wdstloc,ecpage,ecfexchr,watotpt
240,4398.4672,61500,29000,4,2,1,123275,9500,0,721750,4,1,0,10000,39,3900,758250
241,4638.6686,123500,110000,2,2,1,63625,5750,0,327850,2,2,0,0,56,0,451350
242,4664.4447,291900,290000,3,3,1,105550,1900,0,14370,4,2,0,0,51,0,306270
243,5262.0377,200000,200000,1,1,9,42575,0,0,11700,1,1,0,0,41,0,210700
244,4759.7696,185225,165000,4,2,3,85075,225,0,306225,3,1,0,20000,44,0,490450
245,4430.1119,87825,65000,3,2,3,43750,825,0,315175,3,2,0,0,46,0,403000
246,4371.6204,410000,410000,5,2,2,97250,0,0,473250,4,1,0,0,41,12500,883250
247,220.5367,103200,85000,3,3,2,122550,2200,0,938800,3,1,0,0,53,0,1043000
248,4697.6439,78550,72500,5,2,2,42450,5000,0,64300,3,1,0,1050,37,575,142850
249,5686.2167,44050,43000,1,1,1,19975,1050,0,203350,2,2,0,0,64,0,249900
250,5647.9677,240000,175000,3,3,3,73175,41000,0,313501,2,1,0,0,60,0,558501
251,3673.7316,50000,50000,4,2,2,84675,0,0,472000,3,1,0,0,37,0,522000
252,401.3166,79125,55000,2,2,1,80450,875,0,434551,3,1,0,8250,48,0,523676
253,4477.9789,227000,190000,3,2,3,46400,37000,0,112000,4,2,0,0,38,0,339000
254,3390.2869,216800,175000,5,2,3,43850,4400,14000,77200,4,2,0,3400,35,7250,294000
255,5684.8696,152300,145000,2,1,2,39300,4000,3300,597200,3,1,0,0,65,0,739500
256,4784.1038,75500,67500,5,1,2,49675,0,0,60700,3,1,0,8000,28,0,136200
257,4906.5976,122950,97500,3,3,2,72350,0,7000,196550,3,1,0,10500,47,0,319500
258,4128.9623,219550,180000,5,3,2,94850,1050,19000,169450,3,2,0,19500,49,0,378000
259,4481.9798,235275,95000,4,1,2,44750,1850,57500,744275,4,2,0,80000,46,450,979550
260,2456.1113,111900,105000,2,2,1,66075,3900,0,237150,2,1,0,3000,52,0,349050
261,290.2228,409000,390000,4,2,3,238450,19000,0,8204250,4,1,0,0,38,21000,8602250
262,6133.6356,92500,92500,2,2,3,341800,0,0,1253500,4,1,0,0,35,0,1241000
263,253.3398,534000,490000,4,2,2,76350,0,0,3274001,4,1,0,44000,52,0,3808001
264,6092.9629,94500,60000,3,2,1,76150,0,0,216900,3,1,0,18000,29,0,307400
265,1396.4281,62500,62500,1,1,9,4625,0,0,52600,1,2,0,0,58,0,115100
266,1556.6805,30000,15500,1,1,2,49925,14500,0,454200,3,1,0,0,53,4800,444200
267,4185.0071,118750,95000,5,3,2,130950,2500,4750,60700,3,2,0,16500,48,0,172250
268,4029.7601,185000,185000,3,2,2,43750,0,0,108075,4,1,0,0,43,0,293075
269,1133.1894,67200,46000,3,3,3,62325,1200,0,658800,2,2,0,0,46,0,726000
270,4247.4552,298000,175000,5,3,2,64250,46000,8000,63600,4,1,0,40000,52,0,361600
271,4573.6355,60000,60000,3,3,3,72450,0,0,382325,3,1,0,0,54,0,442825
272,6564.822,70000,70000,4,2,2,36650,0,0,3368000,4,2,0,0,38,0,3438000
273,3582.6317,45800,40000,4,3,1,75600,1900,0,638450,3,1,0,0,56,0,664250
274,1536.8752,57500,57500,2,0,3,30000,0,0,808900,1,1,0,0,69,4200,866400
275,5905.3024,224000,27000,4,3,1,29900,0,0,2921425,3,2,0,185000,41,0,3145425
276,1715.8139,86700,82500,1,1,1,46500,0,0,105800,2,1,0,2100,31,0,192500
277,7652.351,92000,82500,4,2,2,139750,0,0,800325,2,1,0,9500,43,23000,892325
278,426.8571,59500,18000,4,3,1,127400,11500,0,763000,3,1,0,30000,46,0,742500
279,4021.461,205750,160000,5,2,2,68050,4750,0,405250,2,1,0,41000,41,5000,611000
280,241.3992,230000,230000,2,2,1,80650,0,0,246050,4,1,0,0,41,0,466050
281,4349.7562,260000,260000,4,2,3,82725,0,0,279901,4,1,0,0,43,10000,539901
282,5526.3584,48000,40000,4,1,2,37025,0,0,260250,2,1,0,8000,38,0,308250
283,188.8348,138500,105000,3,3,1,132675,0,0,729900,4,1,0,14000,48,0,848400
284,480.7481,3900,2000,1,1,9,22750,1900,0,1350,1,2,0,0,40,0,5250
285,207.566,455000,155000,5,2,1,392275,0,0,3672751,4,1,0,300000,47,0,4111751
286,4230.4455,132000,110000,2,1,1,26800,0,0,144500,4,1,0,22000,54,0,276500
287,2403.4497,38750,18500,1,0,2,34775,5750,0,508500,1,1,0,0,64,0,557250
288,2379.3338,11500,10500,1,1,2,66925,1000,0,460500,2,2,0,0,53,0,471250
289,153.4533,300000,300000,2,1,3,56225,0,0,1953000,4,2,0,0,52,0,2253000
290,3121.7047,52850,48000,1,1,1,19075,150,0,52150,3,2,0,4700,55,0,104750
291,3514.0166,57500,57500,2,1,1,30400,0,0,187500,2,1,0,0,66,0,244000
292,565.5191,208000,140000,5,3,1,78100,6000,0,139300,1,1,0,20000,39,2400,302300
293,195.7419,130000,100000,5,3,3,327200,9000,0,1678250,4,1,0,21000,49,0,1808250
294,6169.8169,98200,95000,3,2,1,77875,2200,0,402800,2,1,0,1000,56,0,501000
295,4116.7149,105090,105000,2,2,1,36775,0,0,134160,2,2,0,90,60,0,239250
296,6044.1232,105000,47500,3,3,1,49400,0,0,500750,2,1,0,57500,45,0,605750
297,4535.7404,250000,115000,5,3,1,106750,0,0,240501,3,2,0,135000,32,0,489501
298,10513.0524,40000,37000,1,1,9,22975,0,0,23675,3,1,0,0,31,0,63675
299,2539.2669,64025,62500,3,1,1,29450,1250,0,73925,2,2,0,0,39,0,137950
300,3389.8854,122500,77500,2,2,3,38825,0,0,576001,3,2,0,45000,58,0,698501
301,4757.8367,227150,210000,5,2,1,95025,150,0,547050,3,1,0,17000,38,5500,774200
302,3059.9878,2300,2300,1,0,1,250,0,0,73500,2,2,0,0,21,0,75800
303,1916.6618,42000,21000,4,2,1,141825,0,0,1002000,4,1,0,0,46,0,974000
304,3609.252,206250,105000,3,2,3,79125,10500,0,207750,4,1,0,65000,42,13500,413000
305,2243.816,77750,72500,5,3,1,94025,0,0,224250,3,1,0,0,42,0,287000
306,5688.5595,130000,130000,5,3,2,68575,0,0,572750,1,1,0,0,55,0,702750
307,828.5773,42100,38000,1,1,2,38250,4100,0,108000,3,2,0,0,45,0,127600
308,4836.7898,98225,97500,5,3,9,65525,725,0,379525,3,1,0,0,46,0,477750
309,2236.4245,71500,35000,5,2,2,100575,10500,0,318750,2,1,0,10500,28,0,380250
310,7315.1167,347250,340000,4,2,2,93325,7250,0,211501,4,1,0,0,44,6750,553251
311,6432.6794,31750,26000,1,1,2,18300,0,0,184500,3,1,0,0,42,0,216250
312,212.2849,572500,150000,3,3,2,141775,0,17500,1369251,2,1,0,260000,56,0,1941751
313,3239.0291,35000,29000,2,1,1,53250,0,0,800000,1,2,0,6000,61,0,855000
314,1571.1892,135500,95000,4,2,3,92875,26000,0,68550,2,1,0,14500,45,2300,204050
315,7293.5767,59250,52500,3,1,1,15250,0,0,147151,4,2,0,0,40,600,206401
316,2343.7096,98275,97500,1,1,1,48525,775,0,422225,3,2,0,0,39,0,510500
317,8990.1618,400000,400000,3,2,1,44425,0,0,297325,2,2,0,0,45,0,697125
318,4289.1913,50000,50000,1,1,3,14300,0,0,251501,4,2,0,0,52,0,301501
319,5208.4386,86250,80000,5,3,3,84375,0,0,253900,3,2,0,0,28,0,340150
320,3666.9097,62500,62500,1,0,2,17750,0,0,313250,3,1,0,0,72,0,380750
321,53.1278,202500,82500,5,3,1,143200,0,0,3945700,4,1,0,120000,49,0,4146825
322,44.3618,400000,370000,4,3,2,125825,0,0,2106100,4,1,0,30000,56,0,2456100
323,4716.3283,120400,60000,2,2,9,34300,0,0,9600,2,2,0,0,39,0,130000
324,2259.6998,52250,47500,4,1,1,52600,0,0,311900,3,2,0,4750,48,2200,362150
325,4932.988,109750,90000,5,1,1,44175,0,0,145050,3,1,0,0,27,0,232800
326,238.3064,240000,240000,4,3,3,205825,0,0,1266500,4,1,0,0,52,0,1506500
327,5589.6983,95000,95000,4,1,2,62000,0,0,517250,4,2,0,0,44,0,572250
328,3561.5187,236475,210000,2,2,1,79125,475,5000,111075,4,1,0,0,31,0,340050
329,1912.9622,122500,70000,1,1,2,35675,52500,0,17600,2,2,0,0,68,0,140100
330,139.8856,81500,70000,1,0,1,21800,0,0,943600,4,2,0,11500,71,0,1025100
331,1987.6557,154000,145000,2,2,2,68775,0,1000,240750,2,1,0,0,38,0,344750
332,4111.0195,247900,230000,5,3,2,152400,0,3900,315001,4,1,0,0,48,4100,553901
333,3920.9851,154600,140000,4,1,1,63075,4600,0,183901,4,1,0,0,41,0,336001
334,8172.5086,116150,115000,1,1,1,34000,1150,0,117950,4,1,0,0,29,0,218600
335,3750.2553,50000,50000,2,0,1,42325,0,0,599750,3,1,0,0,79,0,629750
336,4292.5709,101500,60000,5,3,1,68025,8000,0,661501,4,1,0,21000,43,0,763001
337,3197.0058,72500,70000,1,1,2,10175,0,0,171000,2,2,0,2500,53,0,243500
338,3147.9811,82500,72500,1,1,1,32325,0,0,211750,4,2,0,10000,59,0,295250
339,3756.1884,129500,115000,4,3,1,82175,0,0,277025,3,1,0,14500,51,700,381525
340,225.3224,253000,220000,2,2,3,262800,18000,0,1071500,4,1,0,15000,39,0,1299500
341,2153.8371,100000,100000,3,2,1,119625,0,0,298250,4,1,0,0,54,0,398250
342,1713.5483,25825,20000,2,2,1,63375,500,0,306975,2,1,0,525,55,0,312800
343,5615.4918,190000,190000,4,1,1,63175,0,0,205500,4,1,0,0,45,0,395500
344,678.0167,446500,330000,5,2,3,84925,44000,0,56830,4,1,0,57500,38,12000,502830
345,4151.7878,78850,67500,3,3,1,91600,8250,0,211650,2,1,0,0,47,0,290500
346,4763.9108,103000,50000,4,3,1,108900,3000,0,264001,4,1,0,31000,48,0,357001
347,5590.0857,183350,140000,2,2,3,85025,4100,250,47800,3,1,0,11500,25,0,229900
348,4301.466,92000,67500,3,3,1,160200,0,0,967500,4,1,0,9000,50,0,969500
349,5296.3623,153200,110000,3,2,3,36750,1200,0,103100,2,2,0,28000,27,0,256300
350,285.2684,115000,115000,5,2,2,286975,0,0,1647000,4,1,0,0,44,7250,1762000
351,606.5299,295000,270000,3,2,3,92650,1000,7750,117150,4,1,0,8250,33,0,412150
352,700.6536,80600,57500,1,1,1,58150,350,0,63450,3,1,0,0,32,34000,124050
353,4312.9213,57500,57500,3,2,1,67625,0,0,470500,2,2,0,0,59,0,533000
354,3492.674,90000,90000,2,2,1,51200,0,0,227875,2,2,0,0,40,0,317875
355,4258.2084,80100,70000,4,2,2,78325,3100,0,143325,2,1,0,7000,35,1450,212925
356,634.1691,245100,220000,3,2,2,73125,0,0,152401,4,1,0,7000,32,0,397501
357,5442.761,19000,19000,1,0,9,11500,0,0,58650,1,2,0,0,59,0,77650
358,176.8128,210000,210000,2,0,2,70800,0,0,795000,4,1,0,0,80,0,1005000
359,82.3874,410000,410000,4,2,1,459475,0,0,1820500,4,1,0,0,47,12000,2230500
360,4834.8338,169000,150000,5,2,3,37250,0,19000,444500,4,1,0,0,26,0,613500
361,4455.2182,205325,160000,5,3,3,86875,0,0,439150,1,1,0,45000,61,0,644475
362,201.2026,950000,925000,5,2,3,161425,25000,0,1386000,4,1,0,0,46,0,2336000
363,5085.6672,28500,15000,4,1,2,130300,3000,0,700900,4,1,0,0,44,0,729400
364,3956.1099,47500,15000,4,3,3,77225,0,0,543900,2,1,0,1500,46,0,561400
365,4452.7635,121250,115000,1,1,1,45900,0,0,390600,4,1,0,0,48,0,501850
366,285.4298,450000,450000,1,0,2,30050,0,0,612501,4,1,0,0,45,0,1062501
367,4702.506,242750,190000,4,3,2,90925,7750,10000,219250,2,1,0,10000,48,0,462000
368,4058.0441,66675,52500,4,1,2,49300,175,0,167775,3,2,0,0,36,0,244450
369,2324.5486,63850,47000,1,1,2,49950,850,0,270650,4,2,0,0,46,0,325500
370,4098.5493,128900,125000,2,2,3,79150,1000,0,548100,3,1,0,2900,42,0,657000
371,5419.8364,258000,220000,3,2,2,59600,0,0,437500,4,1,0,24000,62,0,696000
372,9225.6939,290510,240000,2,2,2,105200,8000,19500,117590,3,1,0,0,29,0,389600
373,5513.8514,210800,210000,5,2,1,90875,800,0,230475,4,2,0,0,40,0,420775
374,333.4377,365475,310000,5,2,1,75450,16500,475,621750,4,2,0,32000,34,5250,975225
375,8610.3923,55000,45000,4,1,9,83200,0,0,152500,3,1,0,0,43,0,207500
376,4225.8953,195000,190000,4,2,2,64975,5000,0,423000,4,2,0,0,38,2400,618000
377,3127.4435,191000,170000,3,2,3,67500,5000,0,94450,2,2,0,0,56,0,280450
378,162.4318,35000,35000,2,2,2,114175,0,0,1016000,4,1,0,0,39,0,1051000
379,4045.4388,61000,35000,3,3,1,95675,6500,10000,1091750,4,1,0,0,62,0,1177750
380,5567.2641,18500,18500,2,2,1,61700,0,0,613350,3,2,0,0,56,0,631850
381,6465.0052,193650,185000,3,2,1,76900,1900,0,289475,2,1,0,6750,33,7000,447125
382,4484.5144,123000,62500,5,3,3,193800,8500,20000,1263775,3,1,0,32000,55,18000,1386775
383,5647.8967,158550,150000,2,0,1,13825,1550,0,242050,4,2,0,0,49,0,400600
384,6110.1517,156750,125000,5,2,3,46500,10000,0,242500,2,2,0,15000,35,0,393000
385,3209.2092,75000,60000,4,2,1,64400,0,0,107650,3,2,0,0,37,6750,182650
386,5210.6123,129350,125000,5,1,1,39500,1450,2900,39620,4,1,0,0,38,0,168970
387,1693.6828,147000,145000,2,1,2,34175,2000,0,55725,4,1,0,0,34,0,202725
388,183.3456,160000,160000,4,1,1,40025,0,0,1472000,4,1,0,0,46,0,1632000
389,3982.7018,209500,97500,5,3,2,97800,2000,45000,-53800,3,1,0,15000,54,0,154200
390,5979.396,222500,220000,3,2,2,84125,1050,0,388500,3,1,0,0,36,0,591000
391,3511.4424,147050,145000,2,1,1,81100,1250,0,1600175,3,2,0,800,60,0,1797225
392,6574.4507,155250,150000,2,2,1,63225,5250,0,58425,2,1,0,0,25,0,213675
393,4203.6708,16500,9500,4,2,2,119575,0,0,1034500,4,1,0,0,55,0,1076000
394,3769.2891,120250,115000,3,3,1,107900,5250,0,589350,2,1,0,0,45,0,639600
395,3209.8798,131000,110000,5,3,2,122725,0,0,425500,4,1,0,3000,43,0,526500
396,3500.712,165000,165000,5,3,1,116175,0,0,210650,3,2,0,0,51,2700,360650
397,1873.3585,81550,62500,4,2,1,53025,0,0,159125,4,1,0,17500,44,0,250675
398,188.5495,320100,280000,4,3,3,327525,3100,0,2981400,4,1,0,21000,52,12000,3301500
399,4166.7347,260000,210000,4,1,3,155000,0,0,612000,3,1,0,50000,45,0,872000
400,5623.4746,95600,18500,2,0,1,51625,3600,0,668900,4,1,0,62500,63,0,764500
401,182.6348,190000,190000,4,1,1,36800,0,0,409750,4,1,0,0,42,0,596250
402,7873.3604,375000,360000,5,1,2,52225,0,0,181500,1,1,0,0,46,0,556500
403,7998.9018,84700,82500,3,2,2,28100,2200,0,26700,2,1,0,0,21,3600,111400
404,2954.7338,185500,115000,5,3,1,72275,5000,0,265501,4,2,0,8000,37,2500,445501
405,4558.0785,327975,270000,3,0,1,11075,475,57500,44105,1,2,0,0,42,0,372080
406,262.2849,230000,230000,2,2,2,367325,0,0,2633001,2,1,0,0,54,0,2863001
407,4008.9787,70325,70000,3,1,1,31000,0,325,361425,2,2,0,0,78,0,432750
408,5529.688,132000,120000,2,2,1,72400,2000,0,104500,4,1,0,10000,27,0,225500
409,3786.2461,52500,52500,5,2,3,82950,0,0,1082250,2,1,0,0,63,0,1234750
410,5302.2834,182500,155000,2,2,2,72775,1400,9750,60000,4,2,0,16000,31,0,242500
411,233.9789,460000,310000,5,3,1,138825,0,0,444926,4,1,0,150000,55,975,904926
412,5399.8585,179850,170000,1,0,1,39100,1650,0,785650,3,2,0,450,62,0,965500
413,3482.9161,39000,39000,2,1,1,20175,0,0,60250,1,1,0,0,45,0,99250
414,3232.4198,230500,230000,5,2,1,39675,500,0,65850,2,1,0,0,41,0,296350
415,1752.7244,116500,102500,4,3,3,164225,0,0,622750,3,1,0,14000,48,0,738250
416,3155.1728,159500,150000,5,2,1,121300,9500,0,294150,3,1,0,0,43,4000,393650
417,3285.2614,124000,120000,4,3,1,94350,0,0,235500,3,1,0,0,43,0,359500
418,4167.5329,240000,240000,4,3,1,22400,0,0,234500,2,2,0,0,41,0,474500
419,6045.1082,81100,80000,1,1,9,32950,0,0,87100,2,2,0,0,54,0,168200
420,3750.2009,242100,240000,2,1,2,61475,0,0,197000,4,1,0,2100,26,0,439100
421,5168.315,173600,155000,5,3,3,44125,2100,16500,195400,4,1,0,0,44,0,369000
422,3785.2142,208100,180000,2,2,3,71100,0,0,317400,2,2,0,3100,38,0,494000
423,3698.4499,150475,150000,5,2,1,71175,475,0,294100,1,2,0,0,38,0,444575
424,1092.1077,87100,85000,2,2,3,74725,0,0,127500,3,2,0,0,35,0,188100
425,3419.0232,197900,180000,2,2,2,74275,2000,0,74950,2,1,0,2900,33,0,270600
426,4348.5719,101350,90000,2,1,1,28100,2100,0,260950,2,2,0,9250,55,0,362300
427,5762.6654,106500,97500,2,1,3,44850,1000,0,149750,4,1,0,8000,56,0,255250
428,207.0559,240000,240000,2,2,1,69625,0,0,2065500,4,1,0,0,63,0,2305500
429,5392.5331,82500,82500,4,2,9,29850,0,0,93900,2,1,0,0,36,0,159400
430,4778.5082,195000,175000,3,3,3,103025,0,0,126500,4,1,0,0,26,0,321000
431,2989.2061,185525,185000,4,2,1,75575,525,0,175475,3,2,0,0,38,0,366000
432,5909.2477,147000,130000,1,1,1,38050,0,0,75101,3,2,0,17000,62,0,224101
433,4685.8239,115100,100000,2,2,1,71150,3600,0,114200,3,2,0,11500,31,0,229400
434,172.7839,95000,95000,2,2,3,133700,0,0,714500,3,1,0,0,46,0,779500
435,2908.9566,113000,100000,3,3,1,63600,5500,2000,206475,2,2,0,5500,49,0,319475
436,6173.3035,59750,50000,4,2,3,38025,250,0,89250,2,2,0,0,35,0,149000
437,5994.3113,176550,155000,5,2,3,63325,1050,0,276450,3,1,0,17000,38,3400,430000
438,5170.1961,150900,105000,3,3,1,82125,6250,1650,379600,4,1,0,38000,63,0,521500
439,5705.7268,65300,62500,2,2,2,112775,2800,0,787450,3,1,0,0,42,0,742750
440,4699.7694,212000,140000,4,2,3,46425,6000,0,7251,3,1,0,32000,50,675,219251
441,6171.2074,343000,310000,2,2,2,96100,4000,0,77500,3,1,0,29000,29,0,416000
442,2371.9249,140000,120000,4,2,2,51675,20000,0,24000,2,1,0,0,48,0,154000
443,5491.6039,44000,43000,3,3,2,71300,1000,0,289400,1,2,0,0,52,0,333400
444,3533.061,167000,125000,4,3,2,98800,4750,8000,399400,4,2,0,5250,36,11500,556400
445,3833.8727,91500,87500,2,2,2,69275,4000,0,973400,2,1,0,0,57,0,1089900
446,190.2313,230000,130000,4,2,2,143950,0,0,1309000,4,1,0,100000,49,950,1479000
447,5236.0143,192500,140000,1,1,2,53975,0,0,435750,3,1,0,52500,42,9750,598250
448,6476.3463,95000,95000,4,2,1,120325,0,0,675000,4,2,0,0,51,0,780000
449,204.6099,227100,200000,3,2,3,112100,3100,0,1318350,4,1,0,24000,66,0,1610450
450,257.9441,300000,300000,3,2,3,223275,0,0,3675400,4,1,0,0,62,0,3975475
451,62.0499,71500,67500,2,1,2,164675,4000,0,1069500,3,1,0,0,42,0,1130500
452,6756.5673,147100,120000,5,3,1,96075,2200,0,279050,3,1,0,21000,41,0,420650
453,33.9733,500000,320000,4,3,2,200425,0,0,2866000,3,1,0,180000,45,0,3359000
454,4035.9527,371000,290000,2,1,1,115875,0,0,267501,2,1,0,40000,37,0,626501
455,5728.6116,117400,100000,4,1,2,67775,1900,0,216100,3,1,0,0,38,0,334500
456,4945.0483,321750,300000,5,2,2,38425,0,0,-17000,2,2,0,9250,24,0,304750
457,3628.494,100000,50000,4,2,1,106750,0,0,100700,2,1,0,36000,43,0,192700
458,7609.7895,73600,67500,1,1,2,40175,3100,0,111000,3,1,0,0,36,7250,181600
459,8362.0168,243000,220000,1,1,1,39375,0,0,71001,3,1,0,0,39,0,314001
460,65.4649,610000,475000,4,2,3,283975,0,0,8188000,3,1,0,135000,43,0,8799000
461,233.0311,323100,100000,5,3,3,153900,0,0,1157400,4,1,0,220000,55,0,1483000
462,4927.6068,195000,175000,1,1,1,236500,0,0,956000,4,2,0,0,37,0,1151000
463,2946.3344,86250,77500,4,3,3,103175,8750,0,1357250,3,1,0,0,44,0,1443500
464,109.9506,173550,77500,4,2,3,142625,1050,0,891850,4,1,0,0,57,0,1025400
465,21631.3919,118600,95000,1,1,1,28725,375,13500,70200,3,1,0,0,29,0,188800
466,6868.7448,190600,175000,2,2,1,99525,0,4100,109400,2,1,0,11500,32,0,300000
467,4365.4394,205000,160000,4,3,2,66175,3000,0,474425,3,1,0,25000,45,0,679425
468,3948.0396,184450,150000,3,3,1,239625,2700,0,11376700,2,1,0,24000,57,0,11561150
469,2458.6261,142250,135000,1,1,2,50625,7250,0,544050,2,2,0,0,53,0,696300
470,5470.8217,251500,240000,2,2,1,110300,0,0,514250,4,2,0,0,43,0,733750
471,6216.569,280000,280000,3,2,3,66700,0,0,80901,4,2,0,0,50,0,359301
472,4658.9788,100000,100000,2,2,1,67200,0,0,386000,3,1,0,0,38,0,486000
473,1727.2819,115600,95000,4,2,2,46775,4000,0,196900,3,1,0,14500,40,8000,312500
474,4528.9688,100250,100000,2,1,3,66350,250,0,288700,2,1,0,0,53,0,363950
475,2202.9238,158000,95000,4,3,2,85175,19000,0,1450,2,1,0,21000,41,1850,159450
476,6232.6301,43750,24000,1,1,2,41475,10500,0,351400,3,1,0,9250,60,0,375150
477,5091.6447,49000,36000,2,2,2,102475,1000,0,226650,2,1,0,0,36,3600,253650
478,4413.6055,165250,160000,3,2,1,41225,0,0,82450,4,1,0,5250,42,0,247700
479,4329.0939,34900,26000,3,2,3,68650,6000,0,340100,1,1,0,2900,50,0,362500
480,6105.7522,112000,95000,3,3,1,46150,3000,8750,143751,2,1,0,5250,53,0,255751
